productTitle,productPrice
A2 Full Cream Milk 2L,6.9
A2 Light Milk 2L,6.9
A2 Light Milk 1L,3.9
A2 Milk Full Cream 1L,3.9
Black & Gold Lite Sour Cream 300mL,3.25
Black & Gold Sour Cream 300mL,3.25
Black & Gold Thickened Cream 600mL,4.5
Black & Gold Thickened Cream 300mL,2.8
Bulla Cooking Cream 300mL,3.7
Bulla Dollop Thick Cream 200mL,3.8
Bulla Double Cream 200mL,4.8
Bulla Light Sour Cream 200mL,3.7
Bulla Light Thickened Cream 300mL,3.5
Bulla Premium Sour Cream 200mL,3.7
Bulla Sour Cream 400mL,5.5
Bulla Sour Cream Light 400mL,5.5
Bulla Sour Cream Light Lactose Free 200gm,4.1
Bulla Thickened Cream 600mL,6
Bulla Thickened Cream 300mL,3.5
Community Co Lite Milk 2L,3.3
Community Co Whole Milk 2L,3.3
Community Co Whole Milk 3L,4.8
Crankt Protein Chocolate Shake 375mL,4.5
Crankt Vanilla Protein Shake 375mL,4.5
Dairy Farmers Buttermilk 600mL,2.75
Dairy Farmers Classic Chocolate Milk 500mL,3.55
Dairy Farmers Classic Strawberry Flavoured Milk No Added Sugar 500mL,3.1
Dairy Farmers Fresh Cream 300mL,2.45
Dairy Farmers Fresh Cream 600mL,3.76
Dairy Farmers Full Cream Milk 3L,5.4
Dairy Farmers Full Cream Milk 2L,3.9
Dairy Farmers Heart Active Milk 1L,3.25
Dairy Farmers Lite Milk 2L,4.77
Dairy Farmers Lite Milk 1L,2.69
Dairy Farmers Milk Chocolate No Added Sugar 500mL,3.1
Dairy Farmers Shape Bottle 1L,2.59
Dairy Farmers Shape No Fat Milk Bottle 2L,5.5
Dairy Farmers Skim Milk 2L,5.25
Dairy Farmers Skim Milk Bottle 1L,2.69
Dairy Farmers Sour Cream 250gm,3.2
Norco Pure Jersey Milk 2L,5.25
Norco Real Iced Chocolate 500mL,4
Norco Reduced Fat Milk 2L,4.9
OAK Banana 600mL,3.7
OAK Chocolate 300mL,2.95
OAK Chocolate 2L,6.4
OAK Chocolate 600mL,3.7
OAK Chocolate 750mL,3.95
Oak Flavoured Milk Strawberry 2L,6.95
OAK Iced Coffee 600mL,3.7
OAK Iced Coffee 3 Pack,4.35
OAK Iced Coffee 300mL,2.2
OAK Iced Coffee 750mL,4.55
OAK Plus Protein Chocolate 500mL,3.5
OAK Plus Protein Vanilla 500mL,3.5
OAK Strawberry 600mL,3.7
OAK Strawberry 300mL,2.95
OAK Strawberry 750mL,4.55
OAK Strawberry 600mL,3.7
OAK Strawberry 2L,6.95
Pauls Zymil Regular Thickened Cream 300mL,4.1
Pauls Zymil Skim Milk 1L,4
Pura Double Thick Cream Dollop 300mL,4.7
Pura Thick Cream Dollop 300mL,6.7
Raw C Coconut Milk Chocolate 325mL,3.79
Rokeby Farms Whole Protein Smoothie Banana 425mL,4
So Good Chilled Regular Soy Milk 1L,2.8
Tatua Dairy Whip Whipped Cream 250gm,6.35
Vitasoy Almond Double Espresso 330mL,2.59
Vitasoy Milky Lite Soy Milk 1L,2.85
Vitasoy Milky Soy Milk 1L,2.85
Vitasoy Soy Chocolate Milk 1L,3.3
Vitasoy Soy Milky Chocolate Chilled 1L,3.3
Vitasoy Whole Almond Milk Chocolate 330mL,2.59
Western Star Thickened Cream 600mL,5.2
Western Star Thickened Cream Bottle 300mL,3.3
,
,
,
,
Product Categories:,Brand Names:
"Milk (full cream, light, skim, flavored)",
Sour Cream,1. A2
Thickened Cream,2. Black & Gold
Cooking Cream,3. Bulla
Whipped Cream,4. Community Co
Protein Shakes,5. Crankt
"Flavored Milk (chocolate, strawberry, iced coffee, banana)",6. Dairy Farmers
Soy Milk,7. Norco
Almond Milk,8. OAK
Coconut Milk,9. Pauls Zymil
Brand Names:,10. Pura
A2,11. Raw C
Black & Gold,12. Rokeby Farms
Bulla,13. So Good
Community Co,14. Tatua Dairy Whip
Crankt,15. Vitasoy
Dairy Farmers,16. Western Star
Norco,
OAK,Product Categories:
Pauls,
Pura,1. Full Cream Milk
Raw C,2. Light Milk
Rokeby Farms,3. Sour Cream
So Good,4. Thickened Cream
Tatua Dairy Whip,5. Cooking Cream
Vitasoy,6. Dollop Thick Cream
Western Star,7. Double Cream
,8. Light Sour Cream
,9. Light Thickened Cream
,10. Premium Sour Cream
,11. Thickened Cream
,12. Lite Milk
,13. Whole Milk
,14. Protein Chocolate Shake
,15. Vanilla Protein Shake
,16. Buttermilk
,17. Classic Chocolate Milk
,18. Classic Strawberry Flavoured Milk No Added Sugar
,19. Fresh Cream
,20. Heart Active Milk
,21. Lite Milk
,22. Milk Chocolate No Added Sugar
,23. Shape Bottle
,24. Shape No Fat Milk Bottle
,25. Skim Milk
,26. Skim Milk Bottle
,27. Sour Cream
,28. Pure Jersey Milk
,29. Real Iced Chocolate
,30. Reduced Fat Milk
,31. Banana
,32. Chocolate
,33. Flavoured Milk Strawberry
,34. Iced Coffee
,35. Plus Protein Chocolate
,36. Plus Protein Vanilla
,37. Almond Double Espresso
,38. Milky Lite Soy Milk
,39. Milky Soy Milk
,40. Soy Chocolate Milk
,41. Soy Milky Chocolate Chilled
,42. Whole Almond Milk Chocolate
,43. Thickened Cream Bottle
,
,Here is the organized list with brand names and product categories:
,
,1. A2 - Full Cream Milk 2L
,2. A2 - Light Milk 2L
,3. A2 - Light Milk 1L
,4. A2 - Milk Full Cream 1L
,5. Black & Gold - Lite Sour Cream 300mL
,6. Black & Gold - Sour Cream 300mL
,7. Black & Gold - Thickened Cream 600mL
,8. Black & Gold - Thickened Cream 300mL
,9. Bulla - Cooking Cream 300mL
,10. Bulla - Dollop Thick Cream 200mL
,11. Bulla - Double Cream 200mL
,12. Bulla - Light Sour Cream 200mL
,13. Bulla - Light Thickened Cream 300mL
,14. Bulla - Premium Sour Cream 200mL
,15. Bulla - Sour Cream 400mL
,16. Bulla - Sour Cream Light 400mL
,17. Bulla - Sour Cream Light Lactose Free 200gm
,18. Bulla - Thickened Cream 600mL
,19. Bulla - Thickened Cream 300mL
,20. Community Co - Lite Milk 2L
,21. Community Co - Whole Milk 2L
,22. Community Co - Whole Milk 3L
,23. Crankt - Protein Chocolate Shake 375mL
,24. Crankt - Vanilla Protein Shake 375mL
,25. Dairy Farmers - Buttermilk 600mL
,26. Dairy Farmers - Classic Chocolate Milk 500mL
,27. Dairy Farmers - Classic Strawberry Flavoured Milk No Added Sugar 500mL
,28. Dairy Farmers - Fresh Cream 300mL
,29. Dairy Farmers - Fresh Cream 600mL
,30. Dairy Farmers - Full Cream Milk 3L
,31. Dairy Farmers - Full Cream Milk 2L
,32. Dairy Farmers - Heart Active Milk 1L
,33. Dairy Farmers - Lite Milk 2L
,34. Dairy Farmers - Lite Milk 1L
,35. Dairy Farmers - Milk Chocolate No Added Sugar 500mL
,36. Dairy Farmers - Shape Bottle 1L
,37. Dairy Farmers - Shape No Fat Milk Bottle 2L
,38. Dairy Farmers - Skim Milk 2L
,39. Dairy Farmers - Skim Milk Bottle 1L
,40. Dairy Farmers - Sour Cream 250gm
,41. Norco - Pure Jersey Milk 2L
,42. Norco - Real Iced Chocolate 500mL
,43. Norco - Reduced Fat Milk 2L
,44. OAK - Banana 600mL
,45. OAK - Chocolate 300mL
,46. OAK - Chocolate 2L
,47. OAK - Chocolate 600mL
,48. OAK - Chocolate 750mL
,49. OAK - Flavoured Milk Strawberry 2L
,50. OAK - Iced Coffee 600mL
,51. OAK - Iced Coffee 3 Pack
,52. OAK - Iced Coffee 300mL
,53. OAK - Iced Coffee 750mL
,54. OAK - Plus Protein Chocolate 500mL
,55. OAK - Plus Protein Vanilla 500mL
,56. OAK - Strawberry 600mL
,57. OAK - Strawberry 300mL
,58. OAK - Strawberry 750mL
,59. OAK - Strawberry 2L
,60. Pauls Zymil - Regular Thickened Cream 300mL
,61. Pauls Zymil - Skim Milk 1L
,62. Pura - Double Thick Cream Dollop 300mL
,63. Pura - Thick Cream Dollop 300mL
,64. Raw C - Coconut Milk Chocolate 325mL
,65. Rokeby Farms - Whole Protein Smoothie Banana 425mL
,66. So Good - Chilled Regular Soy Milk 1L
,67. Tatua Dairy Whip - Whipped Cream 250gm
,68. Vitasoy - Almond Double Espresso 330mL
,69. Vitasoy - Milky Lite Soy Milk 1L
,70. Vitasoy - Milky Soy Milk 1L
,71. Vitasoy - Soy Chocolate Milk 1L
,72. Vitasoy - Soy Milky Chocolate Chilled 1L
,73. Vitasoy - Whole Almond Milk Chocolate 330mL
,74. Western Star - Thickened Cream 600mL
,75. Western Star - Thickened Cream Bottle 300mL
